ID,Site,GENSPE,FAM,TL,W,TUBE_g,TUBE_SIA,Notes,
A001,A,Plectroglyphidodon lacrymatus,Pomacentridae,83,NA,,,,
A002,A,Pseudogramma polyacantha,Serranidae,40,NA,A1,,,
A003,A,Eviota guttata,Gobiidae,20.5,NA,,s001,,
A004,A,Eviota guttata,Gobiidae,16,NA,,s002,,
A005,A,Eviota guttata,Gobiidae,17.5,NA,,s003,,
A006,A,Callogobius sclateri,Gobiidae,13,NA,g001,,,
A007,A,Eviota distigma,Gobiidae,17.5,NA,g002,,,
A008,A,Eviota zebrina,Gobiidae,13.5,NA,g003,,,
A009,A,Eviota sigillata,Gobiidae,15,NA,g004,,,
A010,A,Eviota zebrina,Gobiidae,12.5,NA,g005,,,
A011,A,Eviota prasina,Gobiidae,10.5,NA,g006,,,
A012,A,Eviota guttata,Gobiidae,21,NA,,s004,,
A013,A,Eviota guttata,Gobiidae,12,NA,,s005,,
A014,A,Eviota sp,Gobiidae,11,NA,,s006,,
A015,A,Eviota infulata,Gobiidae,10,NA,g007,,,
A016,A,Eviota infulata,Gobiidae,9,NA,g008,,,
A017,A,Eviota cf afelei,Gobiidae,8,NA,g009,,No clear photo but two dots,
A018,A,Eviota sp,Gobiidae,6,NA,g010,,,
A019,A,Gymnapogon cf vanderbilti,Gobiidae,19,NA,g011,,,
A020,A,Eviota infulata,Gobiidae,9,NA,g012,,,
A021,A,Eviota guttata,Gobiidae,6,NA,g013,,,
B001,B,Cephalopolis leoparda,Serranidae,98,NA,g014,,,
B002,B,Stegastes nigricans,Serranidae,86,NA,,,,
B003,B,Istigobius decoratus,Gobiidae,51,NA,B1,,,
B004,B,Dascyllus abudafur,Pomacentridae,35,NA,B1,,,
B005,B,Gobiodon micropus,Gobiidae,27,NA,g015,s008,,
B006,B,Chlidichthys chagosensis,Pseudochromidae,30,NA,g016,,,
B007,B,Gobiodon micropus,Gobiidae,26,NA,g017,s009,,
B008,B,Pseudocheilinus hexataenia,Labridae,30,NA,g018,,,
B009,B,Apogon coccineus,Apogonidae,22,NA,g019,,,
B010,B,Eviota prasina,Gobiidae,13,NA,g020,,,
B011,B,Eviota prasina,Gobiidae,13,NA,,s010,Or bipunctata?,
B012,B,Eviota distigma,Gobiidae,16,NA,g021,,,
B013,B,Eviota prasina,Gobiidae,15,NA,g022,,,
