ID,Taxon,Weight_N,N15,PercentN,Weight_C,C13,PercentC,QC_N,QC_C,CN,L,C13_LF
s001,Inv,0.449,7.5,0.072,0.5035,-13.2,0.323,,,4.486111111,23.00062723,-12.70582713
s002,Inv,0.393,10.3,0.112,0.347,-14.8,0.395,,,3.526785714,7.881098308,-15.41660318
s151,Fish,0.5395,13.4,0.11,0.5395,-14.9,0.379,LOW AMP 28,,3.445454545,,
s152,Fish,0.5355,13.3,0.125,0.5355,-15.4,0.429,LOW AMP 28,,3.432,,
s068,Fish,0.5805,13.1,0.111,0.5805,-14.9,0.384,,,3.459459459,,
s003,Inv,0.2085,7,0.105,0.158,-20.2,0.407,,,3.876190476,14.0889961,-20.34703302
s063,Fish,0.586,12.7,0.133,0.586,-15.7,0.455,,,3.421052632,,
s064,Fish,0.5485,12.5,0.137,0.5485,-16,0.455,,,3.321167883,,
s087,Fish,0.526,12.5,0.085,0.526,-15.3,0.284,,,3.341176471,,
s091,Fish,0.5085,12.5,0.132,0.5085,-15.8,0.442,,,3.348484848,,
s122,Fish,0.549,12.5,0.133,0.549,-14.9,0.439,,,3.30075188,,
s066,Fish,0.5395,12.4,0.089,0.5395,-14.8,0.298,,,3.348314607,,
s067,Fish,0.595,12.4,0.103,0.595,-14.5,0.332,,,3.223300971,,
s120,Fish,0.5925,12.4,0.132,0.5925,-15.1,0.459,,,3.477272727,,
s263,Fish,0.5875,12.4,0.14,0.5875,-17.3,0.495,,,3.535714286,,
s076,Fish,0.583,12.3,0.14,0.583,-15.6,0.477,,,3.407142857,,
s121,Fish,0.508,12.3,0.116,0.508,-15.4,0.402,,,3.465517241,,
s240,Fish,0.505,12.3,0.139,0.505,-16.6,0.459,,,3.302158273,,
s260,Fish,0.562,12.3,0.133,0.562,-17.3,0.469,,,3.526315789,,
s270,Fish,0.5545,12.3,0.121,0.5545,-16.9,0.449,,,3.710743802,,
s149,Fish,0.5275,12.2,0.131,0.5275,-14.7,0.451,,,3.442748092,,
s244,Fish,0.5215,12.2,0.108,0.5215,-15.7,0.36,,,3.333333333,,
s267,Fish,0.524,12.2,0.096,0.524,-16.5,0.339,,,3.53125,,
s054,Fish,0.5775,12.1,0.088,0.5775,-12.1,0.303,,,3.443181818,,
s189,Fish,0.5305,12.1,0.11,0.5305,-16.6,0.385,,,3.5,,
s202,Fish,0.5625,12.1,0.145,0.5625,-16,0.484,,,3.337931034,,
s233,Fish,0.5845,12.1,0.121,0.5845,-12.1,0.414,,,3.421487603,,
s289,Fish,0.5165,12.1,0.128,0.5165,-17.2,0.473,,,3.6953125,,
s034,Fish,0.5375,12,0.12,0.5375,-13.7,0.398,,,3.316666667,,
s077,Fish,0.5015,12,0.108,0.5015,-11.3,0.362,,,3.351851852,,
s078,Fish,0.5405,12,0.128,0.5405,-11.7,0.426,,,3.328125,,
s129,Fish,0.5045,12,0.112,0.5045,-14.6,0.361,,,3.223214286,,
s261,Fish,0.535,12,0.128,0.535,-16.9,0.45,,,3.515625,,
s262,Fish,0.5855,12,0.13,0.5855,-18.1,0.451,,,3.469230769,,
s004,Inv,0.5215,9.3,0.077,0.6295,-16.8,0.338,,,4.38961039,21.72712072,-16.39519092
s135,Fish,0.596,11.9,0.098,0.596,-14.7,0.329,,,3.357142857,,
s154,Fish,0.5065,11.9,0.101,0.5065,-15,0.371,,,3.673267327,,
s156,Fish,0.572,11.9,0.125,0.572,-15.6,0.474,,,3.792,,
s223,Fish,0.53,11.9,0.118,0.53,-11.5,0.418,,,3.542372881,,
s241,Fish,0.5295,11.9,0.14,0.5295,-18,0.511,,,3.65,,
s242,Fish,0.5175,11.9,0.142,0.5175,-17.2,0.489,,,3.443661972,,
s005,Inv,0.5525,8.1,0.081,0.508,-13.4,0.19,,,2.345679012,-22.95474486,-16.6762764
s006,Inv,0.5675,8.4,0.059,0.489,-15.5,0.273,,,4.627118644,24.78173138,-14.88206898
s007,Inv,0.595,6.3,0.021,0.5835,-16.5,0.184,"LOW AMP 28, use with caution",,8.761904762,,
s065,Fish,0.5135,11.8,0.07,0.5135,-14.3,0.24,,,3.428571429,,
s099,Fish,0.53,11.8,0.11,0.53,-14.5,0.389,,,3.536363636,,
s130,Fish,0.5805,11.8,0.121,0.5805,-13.4,0.413,,,3.41322314,,
s218,Fish,0.506,11.8,0.135,0.506,-18,0.454,,,3.362962963,,
s224,Fish,0.5285,11.8,0.104,0.5285,-11.6,0.359,,,3.451923077,,
s243,Fish,0.501,11.8,0.112,0.501,-17.1,0.385,,,3.4375,,
s277,Fish,0.526,11.8,0.083,0.526,-15.5,0.311,,,3.746987952,,
s286,Fish,0.5085,11.8,0.111,0.5085,-16.1,0.404,,,3.63963964,,
s287,Fish,0.5425,11.8,0.095,0.5425,-16.2,0.332,,,3.494736842,,
s299,Fish,0.5795,11.8,0.088,0.5795,-16.1,0.302,,,3.431818182,,
s132,Fish,0.5455,11.7,0.109,0.5455,-16.5,0.363,,,3.330275229,,
s134,Fish,0.5855,11.7,0.13,0.5855,-13.6,0.446,,,3.430769231,,
s188,Fish,0.5175,11.7,0.117,0.5175,-16.8,0.405,,,3.461538462,,
s208,Fish,0.512,11.7,0.1,0.512,-13,0.353,,,3.53,,
s209,Fish,0.554,11.7,0.115,0.554,-13.2,0.401,,,3.486956522,,
s227,Fish,0.5415,11.7,0.117,0.5415,-12.5,0.415,,,3.547008547,,
s248,Fish,0.517,11.7,0.107,0.517,-17.5,0.371,,,3.46728972,,
s271,Fish,0.5035,11.7,0.112,0.5035,-16.6,0.4,,,3.571428571,,
s273,Fish,0.523,11.7,0.106,0.523,-16.7,0.369,,,3.481132075,,
s026,Fish,0.6085,11.7,0.121,0.6085,-11.3,0.417,,,3.446280992,,
s219,Fish,0.5895,11.6,0.114,0.5895,-17.5,0.374,,,3.280701754,,
s259,Fish,0.5135,11.6,0.089,0.5135,-17,0.318,,,3.573033708,,
s008,Inv,0.5385,6.6,0.031,0.5195,-14.8,0.094,,,3.032258065,-2.783913087,-16.27120436
s009,Inv,0.546,7.4,0.033,0.584,-17.4,0.137,,,4.151515152,18.37748924,-17.23379781
s006,Fish,0.582,11.5,0.106,0.582,-13.1,0.365,,,3.443396226,,
s032,Fish,0.5415,11.5,0.098,0.5415,-14.3,0.35,,,3.571428571,,
s088,Fish,0.526,11.5,0.107,0.526,-16.5,0.357,,,3.336448598,,
s092,Fish,0.6005,11.5,0.098,0.6005,-13.5,0.314,,,3.204081633,,
s206,Fish,0.5135,11.5,0.111,0.5135,-14.3,0.394,,,3.54954955,,
s226,Fish,0.5045,11.5,0.111,0.5045,-18.1,0.393,,,3.540540541,,
s255,Fish,0.5255,11.5,0.098,0.5255,-11.9,0.344,,,3.510204082,,
s256,Fish,0.553,11.5,0.113,0.553,-13.9,0.402,,,3.557522124,,
s010,Inv,0.5255,7,0.037,0.5655,-15.2,0.178,,,4.810810811,26.97041045,-14.43191375
s011,Inv,0.5,5.6,0.034,0.576,-18,0.125,,,3.676470588,10.65625,-18.40426772
s017,Fish,0.502,11.4,0.125,0.502,-12.4,0.429,,,3.432,,
s035,Fish,0.525,11.4,0.114,0.525,-10.2,0.381,,,3.342105263,,
s071,Fish,0.5985,11.4,0.099,0.5985,-14.7,0.329,,,3.323232323,,
s098,Fish,0.6,11.4,0.115,0.6,-16.6,0.393,,,3.417391304,,
s111,Fish,0.544,11.4,0.116,0.544,-15.9,0.408,,,3.517241379,,
s112,Fish,0.555,11.4,0.117,0.555,-15.4,0.415,,,3.547008547,,
s160,Fish,0.618,11.4,0.128,0.618,-17.1,0.47,,,3.671875,,
s217,Fish,0.517,11.4,0.089,0.517,-17.1,0.301,,,3.382022472,,
s229,Fish,0.5835,11.4,0.106,0.5835,-12.5,0.368,,,3.471698113,,
s282,Fish,0.5815,11.4,0.129,0.5815,-16.7,0.457,,,3.542635659,,
s012,Inv,0.5125,8.8,0.015,0.6155,-21.5,0.087,"LOW AMP 28, use with caution",,5.8,,
s013,Inv,0.62,9.5,0.013,0.651,-18.4,0.271,"LOW AMP 28, use with caution",,20.84615385,,
s069,Fish,0.555,11.3,0.112,0.555,-14.4,0.371,,,3.3125,,
s238,Fish,0.548,11.3,0.124,0.548,-17.4,0.445,,,3.588709677,,
s014,Inv,0.521,,,0.5385,-15.5,0.185,used for test sample,,#DIV/0!,,
s015,Inv,0.6475,9.6,0.011,0.585,-16.7,0.21,"LOW AMP 28, use with caution",,19.09090909,,
s100,Fish,0.4815,11.2,0.113,0.4815,-16.2,0.383,,,3.389380531,,
s108,Fish,0.5985,11.2,0.122,0.5985,-16.3,0.419,,,3.43442623,,
s131,Fish,0.561,11.2,0.108,0.561,-13.7,0.371,,,3.435185185,,
s155,Fish,0.5885,11.2,0.113,0.5885,-15.5,0.422,,,3.734513274,,
s196,Fish,0.548,11.2,0.11,0.548,-17.1,0.382,,,3.472727273,,
s302,Fish,0.5155,11.2,0.119,0.5155,-18,0.419,,,3.521008403,,
s203,Fish,0.5025,11.2,0.125,0.5025,-17.6,0.429,,,3.432,,
s222,Fish,0.5,11.2,0.118,0.5,-17.7,0.415,,,3.516949153,,
s279,Fish,0.5795,11.2,0.1,0.5795,-13.6,0.36,,,3.6,,
s144,Fish,0.515,11.2,0.131,0.515,-16.2,0.444,,,3.389312977,,
s016,Inv,0.5915,9.2,0.012,0.644,-17,0.216,"LOW AMP 28, use with caution",,18,,
s017,Inv,0.556,9.2,0.012,0.5415,-19.6,0.263,"LOW AMP 28, use with caution",,21.91666667,,
s018,Inv,0.259,7.7,0.116,0.3745,-18.7,0.43,,,3.706896552,11.19836215,-19.06325046
s001,Fish,0.86,11.1,0.107,0.86,-14.5,0.341,,,3.186915888,,
s016,Fish,0.574,11.1,0.106,0.574,-12.9,0.357,,,3.367924528,,
s140,Fish,0.5105,11.1,0.12,0.5105,-17.5,0.406,,,3.383333333,,
s211,Fish,0.4495,11.1,0.126,0.4495,-17.9,0.446,,,3.53968254,,
s228,Fish,0.5645,11.1,0.11,0.5645,-13.2,0.399,,,3.627272727,,
s246,Fish,0.533,11.1,0.1,0.533,-17.6,0.338,,,3.38,,
