Year,Atoll,Island,Treatment,Transect,Area,Species,Length,Family,Diet,a,b,Weight,Weight_m
2015,Great_Chagos_Bank,Middle_Brother,Birdy,4,60,Abudefduf sexfasciatus,8,Pomacentridae,Planktivore,0.02188,3.1,13.79196916,0.2299
2015,Great_Chagos_Bank,Middle_Brother,Birdy,4,60,Abudefduf sexfasciatus,8,Pomacentridae,Planktivore,0.02188,3.1,13.79196916,0.2299
2015,Great_Chagos_Bank,Middle_Brother,Birdy,4,60,Abudefduf sexfasciatus,9,Pomacentridae,Planktivore,0.02188,3.1,19.87005627,0.3312
2018,Peros_Banhos,Grande_Ile_Mapou,Ratty,1,60,Abudefduf sexfasciatus,8,Pomacentridae,Planktivore,0.02188,3.1,13.79196916,0.2299
2018,Peros_Banhos,Grande_Ile_Mapou,Ratty,1,60,Abudefduf sexfasciatus,8,Pomacentridae,Planktivore,0.02188,3.1,13.79196916,0.2299
2018,Peros_Banhos,Grande_Ile_Mapou,Ratty,1,60,Abudefduf sexfasciatus,8,Pomacentridae,Planktivore,0.02188,3.1,13.79196916,0.2299
2018,Peros_Banhos,Grande_Ile_Mapou,Ratty,1,60,Abudefduf sexfasciatus,8,Pomacentridae,Planktivore,0.02188,3.1,13.79196916,0.2299
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,12,Pomacentridae,Planktivore,0.02188,3.1,48.47403593,0.8079
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,12,Pomacentridae,Planktivore,0.02188,3.1,48.47403593,0.8079
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,12,Pomacentridae,Planktivore,0.02188,3.1,48.47403593,0.8079
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,10,Pomacentridae,Planktivore,0.02188,3.1,27.54528801,0.4591
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,10,Pomacentridae,Planktivore,0.02188,3.1,27.54528801,0.4591
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,10,Pomacentridae,Planktivore,0.02188,3.1,27.54528801,0.4591
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,10,Pomacentridae,Planktivore,0.02188,3.1,27.54528801,0.4591
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,10,Pomacentridae,Planktivore,0.02188,3.1,27.54528801,0.4591
2021,Great_Chagos_Bank,Middle_Brother,Birdy,3,60,Abudefduf sexfasciatus,10,Pomacentridae,Planktivore,0.02188,3.1,27.54528801,0.4591
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,11,Pomacentridae,Omnivore,0.02455,3.11,42.53855638,0.709
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,11,Pomacentridae,Omnivore,0.02455,3.11,42.53855638,0.709
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,11,Pomacentridae,Omnivore,0.02455,3.11,42.53855638,0.709
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,11,Pomacentridae,Omnivore,0.02455,3.11,42.53855638,0.709
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,12,Pomacentridae,Omnivore,0.02455,3.11,55.75774119,0.9293
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,12,Pomacentridae,Omnivore,0.02455,3.11,55.75774119,0.9293
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf sordidus,12,Pomacentridae,Omnivore,0.02455,3.11,55.75774119,0.9293
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Middle_Brother,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,1,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,2,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,2,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,2,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,2,60,Abudefduf vaigiensis,13,Pomacentridae,Omnivore,0.02455,3.07,64.54425436,1.0757
2015,Great_Chagos_Bank,Nelson_Island,Birdy,2,60,Abudefduf vaigiensis,13,Pomacentridae,Omnivore,0.02455,3.07,64.54425436,1.0757
2015,Great_Chagos_Bank,Nelson_Island,Birdy,3,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,3,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,3,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,3,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,3,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,11,Pomacentridae,Omnivore,0.02455,3.07,38.64800137,0.6441
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Great_Chagos_Bank,Nelson_Island,Birdy,4,60,Abudefduf vaigiensis,12,Pomacentridae,Omnivore,0.02455,3.07,50.48215917,0.8414
2015,Peros_Banhos,Grande_Ile_Coquillage,Birdy,3,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Grande_Ile_Coquillage,Birdy,3,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Grande_Ile_Coquillage,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,1,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,Ile_Longue,Birdy,3,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,PB_Ile_Anglaise,Ratty,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,PB_Ile_Anglaise,Ratty,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2015,Peros_Banhos,PB_Ile_Anglaise,Ratty,2,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Grande_Ile_Mapou,Ratty,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Grande_Ile_Mapou,Ratty,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Ile_Longue,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Ile_Longue,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Ile_Longue,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Ile_Longue,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Ile_Longue,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2018,Peros_Banhos,Ile_Longue,Birdy,4,60,Abudefduf vaigiensis,8,Pomacentridae,Omnivore,0.02455,3.07,14.5391078,0.2423
2019,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2019,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
2019,Great_Chagos_Bank,Eagle,Ratty,1,60,Abudefduf vaigiensis,10,Pomacentridae,Omnivore,0.02455,3.07,28.84373497,0.4807
