Species,Family,MaxSizeTL,MaxSizeTL_Prod,Diet,Position
Abudefduf sexfasciatus,Pomacentridae,15,16,Plktiv,BtPlAs
Abudefduf sordidus,Pomacentridae,25,24,Omnivr,BtPlDw
Abudefduf vaigiensis,Pomacentridae,20,20,Plktiv,BtPlDw
Acanthurus leucosternon,Acanthuridae,50,54,HerDet,BtPlDw
Acanthurus lineatus,Acanthuridae,40,38,HerDet,BtPlDw
Acanthurus mata,Acanthuridae,50,50,Plktiv,BtPlDw
Acanthurus nigricauda,Acanthuridae,40,40,HerDet,BtPlDw
Acanthurus nigrofuscus,Acanthuridae,20,21,HerDet,BtPlDw
Acanthurus tennentii,Acanthuridae,30,31,HerDet,BtPlDw
Acanthurus triostegus,Acanthuridae,25,27,HerDet,BtPlDw
Aethaloperca rogaa,Serranidae,60,60,FisCep,BnthDw
Amblyglyphidodon leucogaster,Pomacentridae,15,13,Plktiv,BtPlDw
Anampses caeruleopunctatus,Labridae,40,42,InvMob,BnthDw
Anampses meleagrides,Labridae,20,22,InvMob,BnthDw
Anampses twistii,Labridae,20,18,InvMob,BnthDw
Anyperodon leucogrammicus,Serranidae,70,65,FisCep,BnthDw
Aphareus furca,Lutjanidae,70,70,FisCep,BtPlDw
Apolemichthys trimaculatus,Pomacanthidae,25,26,InvSes,BnthDw
Aprion virescens,Lutjanidae,120,112,FisCep,PelgAs
Arothron meleagris,Tetraodontidae,50,50,InvSes,BnthDw
Arothron nigropunctatus,Tetraodontidae,35,33,InvSes,BnthDw
Balistapus undulatus,Balistidae,30,30,InvMob,BtPlDw
Balistoides viridescens,Balistidae,80,75,InvMob,BtPlDw
Bodianus axillaris,Labridae,20,22,InvMob,BnthDw
Bodianus diana,Labridae,25,25,InvMob,BnthDw
Calotomus carolinus,Scaridae,50,54,HerDet,BtPlDw
Cantherhines pardalis,Monacanthidae,25,25,Omnivr,BnthDw
Canthigaster janthinoptera,Tetraodontidae,10,9,InvSes,BnthDw
Carangoides ferdau,Carangidae,70,70,FisCep,PelgAs
Caranx melampygus,Carangidae,120,126,FisCep,PelgAs
Carcharhinus melanopterus,Carcharhinidae,200,200,FisCep,PelgAs
Centropyge multispinis,Pomacanthidae,15,14,InvSes,BnthDw
Cephalopholis argus,Serranidae,60,60,FisCep,BnthDw
Cephalopholis nigripinnis,Serranidae,30,28,FisCep,BnthDw
Cephalopholis spiloparaea,Serranidae,30,30,FisCep,BnthDw
Cetoscarus bicolor,Scaridae,70,65,HerDet,BtPlDw
Chaetodon auriga,Chaetodontidae,25,23,InvMob,BnthDw
Chaetodon falcula,Chaetodontidae,20,20,InvSes,BnthDw
Chaetodon guttatissimus,Chaetodontidae,10,12,InvSes,BnthDw
Chaetodon kleinii,Chaetodontidae,15,15,InvSes,BnthDw
Chaetodon lunula,Chaetodontidae,20,21,InvSes,BnthDw
Chaetodon meyeri,Chaetodontidae,20,20,InvSes,BnthDw
Chaetodon trifascialis,Chaetodontidae,20,18,InvSes,BnthDw
Chaetodon trifasciatus,Chaetodontidae,15,15,InvSes,BnthDw
Chaetodon xanthocephalus,Chaetodontidae,20,20,InvSes,BnthDw
Chaetodon zanzibarensis,Chaetodontidae,10,12,InvSes,BnthDw
Cheilinus fasciatus,Labridae,50,52,InvMob,BtPlDw
Cheilinus trilobatus,Labridae,50,45,InvMob,BtPlDw
Chlorurus capistratoides,Scaridae,40,40,HerDet,BtPlDw
Chlorurus enneacanthus,Scaridae,50,50,HerDet,BtPlDw
Chlorurus sordidus,Scaridae,40,40,HerDet,BtPlDw
Chlorurus strongylocephalus,Scaridae,70,70,HerDet,BtPlDw
Chromis atripectoralis,Pomacentridae,10,12,Plktiv,BtPlDw
Chromis dimidiata,Pomacentridae,10,9,Plktiv,BtPlDw
Chromis viridis,Pomacentridae,10,10,Plktiv,BtPlDw
Chromis weberi,Pomacentridae,15,14,Plktiv,BtPlDw
Chrysiptera brownriggii,Pomacentridae,8,8,Omnivr,BnthDw
Cirrhitichthys oxycephalus,Cirrhitidae,10,10,InvMob,BnthDw
Coris formosa,Labridae,60,60,InvMob,BtPlDw
Ctenochaetus binotatus,Acanthuridae,20,22,HerDet,BtPlDw
Ctenochaetus striatus,Acanthuridae,25,26,HerDet,BtPlDw
Ctenochaetus truncatus,Acanthuridae,15,16,HerDet,BtPlDw
Dascyllus aruanus,Pomacentridae,10,10,Plktiv,BnthDw
Epibulus insidiator,Labridae,70,71,FisCep,BnthDw
Epinephelus fasciatus,Serranidae,50,52,FisCep,BnthDw
Epinephelus fuscoguttatus,Serranidae,120,120,FisCep,BnthDw
Epinephelus merra,Serranidae,30,32,FisCep,BnthDw
Euthynnus affinis,Scombridae,100,100,FisCep,PelgAs
Ferdauia orthogrammus,Carangidae,80,75,FisCep,BtPlDw
Forcipiger flavissimus,Chaetodontidae,20,22,InvSes,BnthDw
Gomphosus caeruleus,Labridae,30,32,InvMob,BtPlDw
Halichoeres cosmetus,Labridae,15,13,InvMob,BtPlDw
Halichoeres hortulanus,Labridae,25,27,InvMob,BtPlDw
Halichoeres marginatus,Labridae,20,18,InvMob,BtPlDw
Halichoeres scapularis,Labridae,20,20,InvMob,BtPlDw
Hemigymnus fasciatus,Labridae,50,50,InvMob,BtPlDw
Hemigymnus melapterus,Labridae,60,60,InvMob,BtPlDw
Heniochus monoceros,Chaetodontidae,25,24,InvMob,BtPlDw
Hipposcarus harid,Scaridae,80,75,HerDet,BtPlDw
Kyphosus cinerascens,Kyphosidae,50,50,HerMac,PelgDw
Labrichthys unilineatus,Labridae,20,18,InvSes,BnthDw
Labroides bicolor,Labridae,15,15,InvMob,BtPlDw
Labroides dimidiatus,Labridae,15,14,InvMob,BtPlDw
Lethrinus erythracanthus,Lethrinidae,70,70,InvMob,BnthDw
Lutjanus bohar,Lutjanidae,100,90,FisCep,BtPlDw
Lutjanus gibbus,Lutjanidae,50,50,InvMob,BtPlDw
Lutjanus kasmira,Lutjanidae,40,40,InvMob,BtPlDw
Lutjanus monostigma,Lutjanidae,60,60,FisCep,BtPlDw
Macolor niger,Lutjanidae,80,75,FisCep,PelgAs
Macropharyngodon bipartitus,Labridae,15,13,InvMob,BnthDw
Melichthys indicus,Balistidae,25,25,InvMob,BtPlDw
Monotaxis grandoculis,Lethrinidae,60,60,InvMob,BtPlDw
Mulloidichthys flavolineatus,Mullidae,40,43,InvMob,BtPlDw
Myripristis vittata,Holocentridae,25,25,InvMob,BtPlDw
Naso annulatus,Acanthuridae,100,100,Plktiv,PelgDw
Naso brachycentron,Acanthuridae,100,105,HerMac,BtPlDw
